date,index_canada,index_mexico,index_china,index_usa
03jan2025,.98940307,.99889618,.989999,.99510932
04jan2025,.98818117,.99876845,.98976672,.99476689
05jan2025,.98868793,.99857545,.99012434,.99497586
06jan2025,.98944581,.99940372,.99162143,.99513775
07jan2025,.98959738,1.0001796,.99188566,.99563885
08jan2025,.98934281,1.0006661,.99227065,.99585044
09jan2025,.98929667,.99806768,.9922148,.99541104
10jan2025,.98755622,.99730468,.99236029,.99569619
11jan2025,.98615968,.99746829,.99216342,.99694771
12jan2025,.98557943,.99717826,.99220598,.99683732
13jan2025,.9841038,.9984225,.99285865,.99678802
14jan2025,.98421663,.99900323,.99495274,.99613547
15jan2025,.98422486,.99654996,.99190289,.9946
16jan2025,.9856084,.99567157,.99162865,.99423438
17jan2025,.9870221,.99610317,.99242944,.99433416
18jan2025,.98717743,.99561918,.99231803,.99412411
19jan2025,.98662609,.99384087,.99253201,.99392253
20jan2025,.98647791,.99064702,.99184817,.99399054
21jan2025,.9865213,.98713005,.99110419,.99359363
22jan2025,.98630726,.98663241,.99112308,.99347538
23jan2025,.98661393,.9877941,.99109763,.9933421
24jan2025,.98586553,.98707509,.99096048,.99301118
25jan2025,.98640954,.98763752,.99059492,.99386823
26jan2025,.98626953,.98821771,.99109316,.99398124
27jan2025,.98574787,.98805481,.99120963,.99332345
28jan2025,.98613799,.9872756,.99110752,.99234045
29jan2025,.98606032,.98830426,.99083292,.9923653
30jan2025,.98645824,.98882747,.99063051,.99255776
31jan2025,.98642951,.98513049,.9902879,.99254751
01feb2025,.98666036,.98136747,.98979723,.99173921
02feb2025,.98779124,.9807592,.99031508,.99181509
03feb2025,.98813283,.98809707,.99156541,.99217725
04feb2025,.98808753,.98880732,.99183762,.99265838
05feb2025,.98799664,.98761648,.99170512,.99237597
06feb2025,.98770851,.9856292,.99127257,.99203891
07feb2025,.98775327,.98650855,.99066925,.99224281
08feb2025,.98832285,.98701751,.98984689,.99232858
09feb2025,.98935694,.98665863,.98947233,.99191505
10feb2025,.98956531,.99042773,.98954797,.99221206
